Progress ID,Resource,State,Priority,Created,Updated,Message
PROGfZf6no,Conway Berners-Lee - Wikipedia.pdf,Done,Medium,Feb. 28, 2022, 7:19 p.m.,Feb. 28, 2022, 7:39 p.m.,[{"uploadedDate": "2022-02-28T19:21:26.282022Z"...
PROGJHgZXk,Conway Berners-Lee - Wikipedia.pdf,Done,Medium,Feb. 26, 2022, 9:53 p.m.,Feb. 26, 2022, 10:03 p.m.,[{"uploadedDate": "2022-02-26T21:59:36.022296Z"...
PROGiqokbr,Conway Berners-Lee - Wikipedia.pdf,Done,Medium,July 22, 2021, 7:27 p.m.,July 22, 2021, 7:29 p.m.,[{"uploadedDate": "2021-07-22T19:28:37.695Z", "...
PROGyEZiJj,univac.txt,Done,Medium,April 2, 2021, 4:21 p.m.,April 2, 2021, 4:22 p.m.,[{"uploadedDate": "2021-04-02T16:21:34.820Z", "...
PROG9eLZVw,univac.txt,Done,Medium,April 2, 2021, 4:15 p.m.,April 2, 2021, 4:16 p.m.,[{"uploadedDate": "2021-04-02T16:15:46.073Z", "...
PROGuNUgIV,3668752.pdf,Giles error,Low,March 10, 2020, 3:53 p.m.,March 11, 2020, 2:39 p.m.,duplicate key value violates unique constraint ...
PROGuUiNcs,3996646.pdf,Done,Low,March 10, 2020, 4:05 p.m.,March 11, 2020, 12:37 p.m.,[{"uploadedDate": "2020-03-11T11:54:28.040Z", "...
PROG9SBDaL,42003929.pdf,Done,Low,March 10, 2020, 4:05 p.m.,March 11, 2020, 12:35 p.m.,[{"uploadedDate": "2020-03-11T11:52:53.433Z", "...
PROGKnCdWt,3996248.pdf,Done,Low,March 10, 2020, 4:05 p.m.,March 11, 2020, 12:35 p.m.,[{"uploadedDate": "2020-03-11T11:53:29.384Z", "...
PROG62gArW,3996249.pdf,Done,Low,March 10, 2020, 4:05 p.m.,March 11, 2020, 12:35 p.m.,[{"uploadedDate": "2020-03-11T11:53:49.426Z", "...
PROGjfwrie,41717601.pdf,Done,Low,March 10, 2020, 4:05 p.m.,March 11, 2020, 12:34 p.m.,[{"uploadedDate": "2020-03-11T11:53:01.418Z", "...
PROG7FLq87,25078504.pdf,Done,Low,March 10, 2020, 4:03 p.m.,March 11, 2020, 12:34 p.m.,[{"uploadedDate": "2020-03-11T11:52:33.444Z", "...
PROGOWSIpA,25076384.pdf,Done,Low,March 10, 2020, 4:04 p.m.,March 11, 2020, 12:34 p.m.,[{"uploadedDate": "2020-03-11T11:52:13.389Z", "...
PROGi7zK3O,41717167.pdf,Done,Low,March 10, 2020, 4:05 p.m.,March 11, 2020, 12:33 p.m.,[{"uploadedDate": "2020-03-11T11:53:57.375Z", "...
PROGBP9X9U,20371334.pdf,Done,Low,March 10, 2020, 4:05 p.m.,March 11, 2020, 12:33 p.m.,[{"uploadedDate": "2020-03-11T11:53:09.449Z", "...
PROG2CSR5R,3997539.pdf,Done,Low,March 10, 2020, 4:05 p.m.,March 11, 2020, 12:32 p.m.,[{"uploadedDate": "2020-03-11T11:53:13.382Z", "...
PROGRT9pPV,41717479.pdf,Done,Low,March 10, 2020, 4:05 p.m.,March 11, 2020, 12:32 p.m.,[{"uploadedDate": "2020-03-11T11:52:49.425Z", "...
PROGqcXRBJ,20699186.pdf,Done,Low,March 10, 2020, 4:05 p.m.,March 11, 2020, 12:31 p.m.,[{"uploadedDate": "2020-03-11T11:52:09.342Z", "...
PROGv5FdGz,3997631.pdf,Done,Low,March 10, 2020, 4:05 p.m.,March 11, 2020, 12:31 p.m.,[{"uploadedDate": "2020-03-11T11:52:45.361Z", "...
PROGiCXxA8,41717437.pdf,Done,Low,March 10, 2020, 4:05 p.m.,March 11, 2020, 12:31 p.m.,[{"uploadedDate": "2020-03-11T11:51:45.349Z", "...
PROGGGzafr,25076509.pdf,Done,Low,March 10, 2020, 4:04 p.m.,March 11, 2020, 12:31 p.m.,[{"uploadedDate": "2020-03-11T11:53:21.354Z", "...
PROGpSENgB,41717758.pdf,Done,Low,March 10, 2020, 4:05 p.m.,March 11, 2020, 12:31 p.m.,